Row Count,CaseID,CASEID_NEW,w6_q21d_year,w6_q21e_year,w6_identity_all
0,2,2014039,,2017,lgbtqiapk+
1,3,2019003,1996,,heterosexual or straight
2,5,2145527,2008,,heterosexual or straight
3,6,2648857,,2013,lgbtqiapk+
4,7,2623465,1984,,heterosexual or straight
5,9,2917189,1982,,lgbtqiapk+
6,10,2919423,1969,,heterosexual or straight
7,11,2936569,1970,,heterosexual or straight
9,13,1840371,,,heterosexual or straight
10,14,2089701,2008,,heterosexual or straight
11,15,1939669,,2016,heterosexual or straight
12,16,645963,,2017,heterosexual or straight
13,17,729415,,2013,heterosexual or straight
14,18,2710813,2012,,heterosexual or straight
15,20,2578951,2011,,lgbtqiapk+
16,21,2154415,,,heterosexual or straight
17,22,2690979,2007,,lgbtqiapk+
18,23,1861177,2007,,heterosexual or straight
19,24,782115,1974,,heterosexual or straight
20,25,808133,2000,,heterosexual or straight
21,27,1710975,,2011,lgbtqiapk+
22,28,1946291,2015,2017,heterosexual or straight
23,29,1760115,,,heterosexual or straight
24,30,1535219,2008,,heterosexual or straight
25,31,2645965,1990,,heterosexual or straight
26,32,1203763,,2009,heterosexual or straight
27,33,2930471,,,heterosexual or straight
28,35,2871183,,,lgbtqiapk+
29,37,2106585,,,heterosexual or straight
30,38,2963787,2014,,heterosexual or straight
31,39,1903571,1989,1997,heterosexual or straight
32,41,1739387,2016,,lgbtqiapk+
33,42,2962195,,2008,lgbtqiapk+
34,43,2787017,2002,,heterosexual or straight
35,45,2894963,2007,,heterosexual or straight
36,46,2686671,,,heterosexual or straight
37,47,2695689,2005,,heterosexual or straight
38,48,2618039,,,heterosexual or straight
40,50,2516441,1988,,lgbtqiapk+
41,51,1301695,,,heterosexual or straight
42,52,2943881,2007,,heterosexual or straight
43,54,2205453,,,heterosexual or straight
44,55,1872925,,,heterosexual or straight
45,56,2254741,2001,,heterosexual or straight
46,57,2337841,2016,,heterosexual or straight
47,58,2405443,1971,,heterosexual or straight
48,59,2808887,1999,,lgbtqiapk+
49,62,811853,,2016,lgbtqiapk+
50,63,2772025,,2002,lgbtqiapk+
51,64,2965635,1998,,heterosexual or straight
52,65,2789327,,,lgbtqiapk+
53,68,1730087,2000,,heterosexual or straight
54,69,1107709,1986,,heterosexual or straight
55,70,2807193,1971,,heterosexual or straight
56,71,2953253,2011,,heterosexual or straight
57,72,1750221,1987,,heterosexual or straight
58,73,2939367,,,heterosexual or straight
59,74,654967,2009,,heterosexual or straight
60,75,2519523,,2017,heterosexual or straight
61,76,1838041,,,heterosexual or straight
62,77,2935849,1972,,heterosexual or straight
63,78,2278413,,,heterosexual or straight
64,79,2684625,,2017,lgbtqiapk+
65,80,2554257,2016,,lgbtqiapk+
66,81,723769,1973,,heterosexual or straight
67,83,1374091,1974,,heterosexual or straight
68,84,2044441,1985,,heterosexual or straight
69,85,1587239,,,heterosexual or straight
71,87,1107549,1963,,heterosexual or straight
72,88,1131259,1990,,heterosexual or straight
73,89,2319981,1963,,heterosexual or straight
74,90,2277693,,,heterosexual or straight
75,91,778181,,2006,heterosexual or straight
76,92,2881913,,,heterosexual or straight
77,93,2271349,1990,,heterosexual or straight
78,94,659217,1986,,heterosexual or straight
79,95,651259,2007,,heterosexual or straight
80,96,1977353,2008,,heterosexual or straight
81,98,1228339,,,heterosexual or straight
82,99,2280139,,,heterosexual or straight
83,100,2208823,2008,,heterosexual or straight
84,101,2836091,1986,,heterosexual or straight
85,102,2147081,2013,,heterosexual or straight
86,104,717299,1965,,heterosexual or straight
87,105,2643123,1990,,heterosexual or straight
88,106,2836441,,2012,heterosexual or straight
89,107,2453103,1983,,heterosexual or straight
90,108,2801097,1983,,heterosexual or straight
91,109,1850929,1968,,heterosexual or straight
92,111,2645153,,,heterosexual or straight
93,112,2445311,,2010,lgbtqiapk+
94,113,2354647,1996,,lgbtqiapk+
95,114,646023,1970,,heterosexual or straight
96,115,2298757,,,lgbtqiapk+
97,116,2658993,2007,,heterosexual or straight
98,117,1586841,2007,,lgbtqiapk+
99,119,2473663,,,heterosexual or straight
100,120,1000407,1978,,heterosexual or straight
101,121,1001637,1997,,heterosexual or straight
102,122,2450987,2000,,heterosexual or straight
103,123,1756667,,,lgbtqiapk+
104,124,1872499,,1995,heterosexual or straight
105,126,2949987,1965,,heterosexual or straight
106,127,783399,2014,,heterosexual or straight
107,128,2784823,1984,,heterosexual or straight
108,129,1726295,1970,,heterosexual or straight
109,130,2142839,2005,,heterosexual or straight
110,131,1807959,1973,,heterosexual or straight
111,132,2693307,1966,,heterosexual or straight
112,133,582849,1995,,heterosexual or straight
113,134,2941829,2005,,heterosexual or straight
114,135,2218005,1976,,heterosexual or straight
115,136,2829353,,,heterosexual or straight
116,137,2575939,,,lgbtqiapk+
117,138,2101713,,,lgbtqiapk+
118,139,1890779,1975,,heterosexual or straight
119,140,2402977,,,lgbtqiapk+
120,142,1851301,1970,,heterosexual or straight
121,143,2781811,,,lgbtqiapk+
122,144,747547,1992,2015,heterosexual or straight
123,145,620797,,2016,heterosexual or straight
124,146,1791377,1987,,heterosexual or straight
125,147,2875423,,2005,lgbtqiapk+
126,148,1900313,1963,,heterosexual or straight
127,149,1222679,2003,,heterosexual or straight
128,150,2959067,2014,,heterosexual or straight
129,151,2143321,2013,,heterosexual or straight
130,152,2961031,1960,,heterosexual or straight
131,153,2732349,,1995,heterosexual or straight
133,155,2535477,1973,,heterosexual or straight
134,156,2345215,1984,,heterosexual or straight
135,157,2614657,1976,,heterosexual or straight
136,158,2823999,2010,,heterosexual or straight
137,159,2531511,1992,,heterosexual or straight
138,160,2825293,,1996,heterosexual or straight
139,161,2267467,,1999,heterosexual or straight
140,162,1909007,,2017,heterosexual or straight
141,163,2928317,1998,,heterosexual or straight
142,164,2417997,1970,,heterosexual or straight
143,165,1619243,1976,,heterosexual or straight
145,167,1775891,,,heterosexual or straight
146,168,2945785,2016,,heterosexual or straight
147,169,2177193,,,lgbtqiapk+
148,170,1178471,1968,,heterosexual or straight
149,171,2256865,2007,,heterosexual or straight
150,172,1966321,1979,,heterosexual or straight
151,174,2797135,2007,,heterosexual or straight
152,176,1202157,,,lgbtqiapk+
153,177,2725861,1981,,heterosexual or straight
154,178,2088603,1977,,heterosexual or straight
155,179,1722075,,2015,lgbtqiapk+
156,180,2014793,1981,,heterosexual or straight
157,181,2277911,,,heterosexual or straight
158,182,1939331,,,heterosexual or straight
159,186,2870039,2010,,heterosexual or straight
160,187,2952141,1980,,heterosexual or straight
