pid,w6_q21a_year,grp,duration
121759,1989,time_from_met_to_rel,0.33337402
121759,1989,time_from_rel_to_cohab,1.166626
121759,1989,time_married_hardcoded,-8.25
185779,1981,time_from_met_to_rel,0.41662598
185779,1981,time_from_rel_to_cohab,0.833374
185779,1981,time_married_hardcoded,-8.25
220655,2000,time_from_met_to_rel,0.833374
220655,2000,time_from_rel_to_cohab,0
220655,2000,time_married_hardcoded,-8.25
328443,1983,time_from_met_to_rel,0.916626
328443,1983,time_from_rel_to_cohab,6.5
328443,1983,time_married_hardcoded,-8.25
369975,1985,time_from_met_to_rel,2.083374
369975,1985,time_from_rel_to_cohab,19.416626
369975,1985,time_married_hardcoded,-8.25
507747,1981,time_from_met_to_rel,0.25
507747,1981,time_from_rel_to_cohab,2.666626
507747,1981,time_married_hardcoded,-8.25
582849,1992,time_from_met_to_rel,0.75
582849,1992,time_from_rel_to_cohab,2.5
582849,1992,time_married_hardcoded,-8.25
585169,1970,time_from_met_to_rel,0
585169,1970,time_from_rel_to_cohab,2.416626
585169,1970,time_married_hardcoded,-8.25
605501,1959,time_from_met_to_rel,0.5
605501,1959,time_from_rel_to_cohab,0.16662598
605501,1959,time_married_hardcoded,-8.25
606929,1978,time_from_met_to_rel,0.08337402
606929,1978,time_from_rel_to_cohab,1.666626
606929,1978,time_married_hardcoded,-8.25
608697,1999,time_from_met_to_rel,0.08337402
608697,1999,time_from_rel_to_cohab,0.75
608697,1999,time_married_hardcoded,-8.25
651259,2004,time_from_met_to_rel,0
651259,2004,time_from_rel_to_cohab,2.5
651259,2004,time_married_hardcoded,-8.25
651349,1982,time_from_met_to_rel,0.16662598
651349,1982,time_from_rel_to_cohab,0.08337402
651349,1982,time_married_hardcoded,-8.25
654967,2006,time_from_met_to_rel,1.75
654967,2006,time_from_rel_to_cohab,0.666626
654967,2006,time_married_hardcoded,-8.25
654967,2006,time_from_met_to_rel,1.75
654967,2006,time_from_rel_to_cohab,0.666626
654967,2006,time_married_hardcoded,-8.25
703017,1987,time_from_met_to_rel,0
703017,1987,time_from_rel_to_cohab,0.25
703017,1987,time_married_hardcoded,-8.25
705457,2009,time_from_met_to_rel,3.166626
705457,2009,time_from_rel_to_cohab,0.41662598
705457,2009,time_married_hardcoded,-8.25
724199,2015,time_from_met_to_rel,0.16662598
724199,2015,time_from_rel_to_cohab,0.75
724199,2015,time_married_hardcoded,-8.25
728327,1978,time_from_met_to_rel,1.083374
728327,1978,time_from_rel_to_cohab,0.666626
728327,1978,time_married_hardcoded,-8.25
730391,1957,time_from_met_to_rel,0.5
730391,1957,time_from_rel_to_cohab,2.083374
730391,1957,time_married_hardcoded,-8.25
769207,1993,time_from_met_to_rel,0.41674805
769207,1993,time_from_rel_to_cohab,0.5
769207,1993,time_married_hardcoded,-8.25
811175,1982,time_from_met_to_rel,0
811175,1982,time_from_rel_to_cohab,0.16674805
811175,1982,time_married_hardcoded,-8.25
813467,1979,time_from_met_to_rel,0.33325195
813467,1979,time_from_rel_to_cohab,1
813467,1979,time_married_hardcoded,-8.25
844189,2012,time_from_met_to_rel,2.166626
844189,2012,time_from_rel_to_cohab,0.33337402
844189,2012,time_married_hardcoded,-8.25
853511,1967,time_from_met_to_rel,0.25
853511,1967,time_from_rel_to_cohab,0.25
853511,1967,time_married_hardcoded,-8.25
854869,1966,time_from_met_to_rel,0.25
854869,1966,time_from_rel_to_cohab,0.66674805
854869,1966,time_married_hardcoded,-8.25
874193,1981,time_from_met_to_rel,0.5
874193,1981,time_from_rel_to_cohab,3.666626
874193,1981,time_married_hardcoded,-8.25
882735,1985,time_from_met_to_rel,2.416748
882735,1985,time_from_rel_to_cohab,0.83325195
882735,1985,time_married_hardcoded,-8.25
892115,2007,time_from_met_to_rel,0.41674805
892115,2007,time_from_rel_to_cohab,0.16662598
892115,2007,time_married_hardcoded,-8.25
957155,1984,time_from_met_to_rel,0.08337402
957155,1984,time_from_rel_to_cohab,3.083252
957155,1984,time_married_hardcoded,-8.25
957901,2013,time_from_met_to_rel,0
957901,2013,time_from_rel_to_cohab,0.41662598
957901,2013,time_married_hardcoded,-8.25
998173,1997,time_from_met_to_rel,0.666626
998173,1997,time_from_rel_to_cohab,1.666626
998173,1997,time_married_hardcoded,-8.25
1021941,2001,time_from_met_to_rel,0.25
1021941,2001,time_from_rel_to_cohab,0
1021941,2001,time_married_hardcoded,-8.25
1025093,1955,time_from_met_to_rel,0.16662598
1025093,1955,time_from_rel_to_cohab,0.08337402
1025093,1955,time_married_hardcoded,-8.25
1026725,2014,time_from_met_to_rel,0.41662598
1026725,2014,time_from_rel_to_cohab,0.5
1026725,2014,time_married_hardcoded,-8.25
1096779,2005,time_from_met_to_rel,0
1096779,2005,time_from_rel_to_cohab,0.583374
1096779,2005,time_married_hardcoded,-8.25
1100227,1988,time_from_met_to_rel,0
1100227,1988,time_from_rel_to_cohab,0
1100227,1988,time_married_hardcoded,-8.25
1101235,1969,time_from_met_to_rel,0.16674805
1101235,1969,time_from_rel_to_cohab,4
1101235,1969,time_married_hardcoded,-8.25
1116971,1967,time_from_met_to_rel,2.916626
1116971,1967,time_from_rel_to_cohab,1.25
1116971,1967,time_married_hardcoded,-8.25
1118057,1988,time_from_met_to_rel,0.25
1118057,1988,time_from_rel_to_cohab,4.5
1118057,1988,time_married_hardcoded,-8.25
1127787,1989,time_from_met_to_rel,0.08337402
1127787,1989,time_from_rel_to_cohab,0.5
1127787,1989,time_married_hardcoded,-8.25
1150579,1989,time_from_met_to_rel,0.25
1150579,1989,time_from_rel_to_cohab,4
1150579,1989,time_married_hardcoded,-8.25
1153863,1959,time_from_met_to_rel,2.333252
1153863,1959,time_from_rel_to_cohab,0.5
1153863,1959,time_married_hardcoded,-8.25
1153863,1959,time_from_met_to_rel,2.333252
1153863,1959,time_from_rel_to_cohab,0.5
1153863,1959,time_married_hardcoded,-8.25
1168239,2013,time_from_met_to_rel,0
1168239,2013,time_from_rel_to_cohab,0.833374
1168239,2013,time_married_hardcoded,-8.25
1172569,1958,time_from_met_to_rel,0.16662598
1172569,1958,time_from_rel_to_cohab,1
1172569,1958,time_married_hardcoded,-8.25
1181275,1989,time_from_met_to_rel,0.16662598
1181275,1989,time_from_rel_to_cohab,0.583374
1181275,1989,time_married_hardcoded,-8.25
1198519,2014,time_from_met_to_rel,0.08325195
1198519,2014,time_from_rel_to_cohab,0.91674805
1198519,2014,time_married_hardcoded,-8.25
1236545,1992,time_from_met_to_rel,0
1236545,1992,time_from_rel_to_cohab,16.083374
1236545,1992,time_married_hardcoded,-8.25
1238075,1996,time_from_met_to_rel,0
1238075,1996,time_from_rel_to_cohab,0.33337402
1238075,1996,time_married_hardcoded,-8.25
1249059,1965,time_from_met_to_rel,27
1249059,1965,time_from_rel_to_cohab,0
